fy,full_sample,typen,n_borrowers,tot_bal,r_typen1,r_typen2,r_typen3,r_typen4,r_typen5,r_typen6,mn_tot_bal,md_tot_bal,alt_cdr2,alt_cdr3,alt_cdr5,replicate_cdr3,fract_repaid,f5_tot_bal,mn_f5_tot_bal,md_f5_tot_bal,agg_fract_repaid,cpi_adj
2007,,3,451,2411,,,,,,,5348,3537,.133,.196,.277,.172,.238,2147,4762,2907,.109,.906824
2008,,3,458,2582,,,,,,,5633,3832,.13,.195,.284,.168,.208,2343,5111,3169,.093,.910217
2009,,3,719,4298,,,,,,,5975,4447,.117,.182,.265,.151,.129,4111,5715,3990,.044,.929017
2010,,3,540,3469,,,,,,,6427,4585,.162,.228,,.2,,,,,,.941916
2011,,3,746,5375,,,,,,,7208,5257,.177,.234,,.21,,,,,,.965479
2012,,3,897,7043,,,,,,,7854,5505,.17,,,.205,,,,,,.980216
2013,,3,955,8126,,,,,,,8512,5782,,,,,,,,,,.992323
2014,,3,952,8573,,,,,,,9002,5922,,,,,,,,,,1
1999,,4,848,7991,,,,,,,9420,6921,.056,.084,.117,.075,.265,6743,7949,4708,.156,.753413
2000,,4,886,8778,,,,,,,9905,7234,.058,.085,.118,.076,.266,7400,8350,4915,.157,.77168
2001,,4,885,9028,,,,,,,10202,7396,.055,.079,.11,.071,.25,7719,8723,5219,.145,.779909
2002,,4,870,9006,,,,,,,10357,7568,.051,.073,.105,.065,.23,7879,9061,5580,.125,.796383
2003,,4,908,9371,,,,,,,10324,7750,.046,.069,.104,.062,.218,8281,9123,5984,.116,.811654
2004,,4,963,10003,,,,,,,10383,7834,.049,.074,.11,.065,.209,8890,9228,6187,.111,.834702
2005,,4,1203,13259,,,,,,,11023,8892,.044,.07,.102,.061,.193,11826,9831,7088,.108,.858669
2006,,4,1283,13964,,,,,,,10885,8404,.049,.074,.11,.065,.199,12524,9763,6559,.103,.876992
2007,,4,941,9799,,,,,,,10409,7214,.072,.108,.159,.095,.224,8740,9284,5495,.108,.906824
2008,,4,938,10040,,,,,,,10703,7864,.069,.107,.163,.091,.243,8603,9171,5687,.143,.910217
2009,,4,1403,14294,,,,,,,10186,7621,.057,.093,.144,.077,.193,12498,8906,6043,.126,.929017
2010,,4,1036,12878,,,,,,,12425,9876,.079,.118,,.102,,,,,,.941916
2011,,4,1191,16254,,,,,,,13647,10750,.09,.122,,.11,,,,,,.965479
2012,,4,1313,19495,,,,,,,14845,11692,.081,,,.1,,,,,,.980216
2013,,4,1346,21286,,,,,,,15818,12356,,,,,,,,,,.992323
2014,,4,1359,22581,,,,,,,16617,12950,,,,,,,,,,1
1999,,5,14,82,,,,,,,6017,4798,.101,.146,.21,.135,.327,63,4610,3139,.232,.753413
2000,,5,13,78,,,,,,,5892,4712,.076,.132,.21,.108,.352,57,4292,2909,.269,.77168
2001,,5,12,73,,,,,,,6097,4755,.125,.195,.237,.178,.31,55,4583,2981,.247,.779909
2002,,5,12,76,,,,,,,6258,4890,.08,.129,.179,.113,.324,55,4550,3197,.276,.796383
2003,,5,12,79,,,,,,,6804,5345,.098,.161,.236,.151,.294,63,5429,3505,.203,.811654
2004,,5,14,93,,,,,,,6484,5255,.089,.162,.213,.141,.244,79,5563,3985,.151,.834702
2005,,5,17,107,,,,,,,6400,5359,.094,.163,.216,.138,.273,86,5136,3636,.196,.858669
2006,,5,18,116,,,,,,,6544,5255,.102,.175,.249,.143,.232,99,5569,4306,.147,.876992
2007,,5,14,93,,,,,,,6814,5616,.144,.226,.318,.193,.212,78,5729,4096,.161,.906824
2008,,5,17,114,,,,,,,6911,5651,.122,.24,.327,.189,.216,97,5882,4632,.149,.910217
2009,,5,22,170,,,,,,,7576,6542,.128,.175,.297,.155,.131,152,6805,5569,.106,.929017
2010,,5,19,163,,,,,,,8430,7327,.104,.18,,.155,,,,,,.941916
2011,,5,24,213,,,,,,,9030,7883,.116,.163,,.136,,,,,,.965479
2012,,5,25,245,,,,,,,9976,8225,.108,,,.136,,,,,,.980216
2013,,5,25,258,,,,,,,10463,9046,,,,,,,,,,.992323
2014,,5,21,229,,,,,,,10767,8979,,,,,,,,,,1
1999,,6,461,4846,,,,,,,10503,8599,.048,.077,.111,.067,.279,3944,8549,5423,.186,.753413
2000,,6,467,5074,,,,,,,10876,9000,.052,.079,.109,.069,.271,4182,8964,5728,.176,.77168
2001,,6,464,5198,,,,,,,11211,9532,.046,.07,.102,.061,.252,4336,9352,6131,.166,.779909
2002,,6,470,5317,,,,,,,11304,9486,.042,.064,.099,.055,.218,4617,9815,6638,.132,.796383
2003,,6,495,5681,,,,,,,11466,9844,.041,.066,.102,.058,.203,4981,10052,7274,.123,.811654
2004,,6,523,6128,,,,,,,11714,10155,.042,.069,.105,.058,.197,5388,10298,7707,.121,.834702
2005,,6,658,7989,,,,,,,12147,10649,.039,.064,.095,.055,.175,7121,10827,8444,.109,.858669
2006,,6,702,8455,,,,,,,12038,10373,.046,.073,.108,.063,.187,7546,10743,7908,.108,.876992
2007,,6,508,5722,,,,,,,11274,8391,.068,.107,.158,.092,.215,5059,9967,6296,.116,.906824
2008,,6,492,5534,,,,,,,11253,8572,.068,.109,.168,.093,.237,4696,9549,6098,.151,.910217
2009,,6,846,8823,,,,,,,10427,7731,.052,.083,.127,.07,.202,7509,8874,6258,.149,.929017
2010,,6,564,7334,,,,,,,13002,10876,.071,.106,,.092,,,,,,.941916
2011,,6,620,8848,,,,,,,14266,12059,.075,.105,,.092,,,,,,.965479
2012,,6,672,10625,,,,,,,15805,13282,.066,,,.083,,,,,,.980216
2013,,6,676,11471,,,,,,,16972,13994,,,,,,,,,,.992323
2014,,6,680,12089,,,,,,,17786,14630,,,,,,,,,,1
