fy,full_sample,typen,n_borrowers,tot_bal,r_typen1,r_typen2,r_typen4,r_typen6,mn_tot_bal,md_tot_bal,alt_cdr2,alt_cdr3,alt_cdr5,replicate_cdr3,fract_repaid,f5_tot_bal,mn_f5_tot_bal,md_f5_tot_bal,agg_fract_repaid,cpi_adj
2013,,4,357,4695,,,,,13135,11506,,,,,,,,,,.992323
2014,,4,347,4594,,,,,13243,11729,,,,,,,,,,1
1999,,6,160,1372,,,,,8568,7068,.009,.018,.035,.015,.466,779,4865,3125,.432,.753413
2000,,6,162,1447,,,,,8949,7386,.011,.022,.034,.018,.454,878,5432,3315,.393,.77168
2001,,6,164,1556,,,,,9472,7805,.011,.017,.027,.015,.411,1029,6264,3789,.339,.779909
2002,,6,173,1646,,,,,9538,7759,.009,.015,.025,.012,.327,1170,6783,4395,.289,.796383
2003,,6,185,1830,,,,,9888,7594,.009,.019,.032,.015,.249,1371,7408,4667,.251,.811654
2004,,6,216,2194,,,,,10175,7502,.009,.017,.031,.015,.188,1700,7881,5035,.225,.834702
2005,,6,227,2673,,,,,11776,9633,.01,.018,.032,.015,.229,2294,10107,6714,.142,.858669
2006,,6,238,2746,,,,,11541,9480,.012,.021,.038,.018,.31,2035,8552,5761,.259,.876992
2007,,6,226,2892,,,,,12798,10319,.014,.023,.047,.02,.337,2071,9164,5999,.284,.906824
2008,,6,213,3035,,,,,14220,12010,.011,.026,.053,.02,.353,2130,9983,6386,.298,.910217
2009,,6,215,3127,,,,,14552,12147,.017,.027,.045,.023,.304,2356,10964,7161,.247,.929017
2010,,6,245,3654,,,,,14925,12647,.018,.03,,.024,,,,,,.941916
2011,,6,285,4436,,,,,15558,13093,.015,.026,,.021,,,,,,.965479
2012,,6,287,4872,,,,,16988,14827,.008,,,.016,,,,,,.980216
2013,,6,248,4550,,,,,18368,15978,,,,,,,,,,.992323
2014,,6,238,4470,,,,,18750,16183,,,,,,,,,,1
