fy,full_sample,sel_index,typen,enter_repay_borrowers,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_typen1,lst_typen2,lst_typen3,lst_typen4,tot_parplus_balance,f5_tot_parplus_balance,mn_parplus_loan,md_parplus_loan,pct75_par,pct90_par,alt_cdr2,alt_cdr3,alt_cdr5,fract,age_entry,cpi_adj
1983,,,4,7,,,,,,,,,18,8,2566,2529,2643,5037,0.004,0.007,0.007,0.572,,0.491878
1984,,,4,11,,,,,,,,,30,13,2790,2538,2652,5133,0.019,0.026,0.031,0.569,,0.509814
1985,,,4,16,,,,,,,,,49,20,3142,2582,3431,5235,0.008,0.013,0.021,0.591,,0.528431
1986,,,4,15,,,,,,,,,55,22,3554,2592,4259,6933,0.011,0.021,0.029,0.601,,0.536539
1987,,,4,18,,,,,,,,,63,26,3555,2632,3918,6663,0.02,0.023,0.047,0.603,,0.556903
1988,,,4,31,,,,,,,,,107,47,3495,3330,3520,6652,0.029,0.044,0.072,0.588,,0.580705
1989,,,4,42,,,,,,,,,169,76,3981,3383,4164,6952,0.036,0.059,0.088,0.583,,0.60299
1990,,,4,48,,,,,,,,,204,94,4208,3416,5113,7151,0.036,0.05,0.089,0.575,,0.631967
1991,,,4,63,,,,,,,,,280,134,4452,3486,5949,9012,0.041,0.061,0.092,0.561,,0.648323
1992,,,4,80,,,,,,,,,394,218,4947,3504,6535,9816,0.029,0.048,0.09,0.5,,0.665147
1993,,,4,70,,,,,,,,,387,226,5516,3934,6998,10877,0.034,0.062,0.105,0.496,,0.679709
1994,,,4,32,,,,,,,,,186,96,5882,4500,7857,11493,0.032,0.056,0.07,0.595,,0.694281
1995,,,4,53,,,,,,,,,378,191,7153,5363,9315,14602,0.026,0.045,0.061,0.598,,0.707602
1996,,,4,63,,,,,,,,,476,241,7533,5353,9739,16004,0.027,0.04,0.055,0.603,,0.724261
1997,,,4,69,,,,,,,,,608,302,8837,6474,11156,18690,0.031,0.04,0.057,0.589,,0.732323
1998,,,4,72,,,,,,,,,686,366,9467,6479,12027,20588,0.017,0.027,0.044,0.59,,0.738253
1999,,,4,79,,,,,,,,,816,464,10293,6977,13125,22188,0.019,0.029,0.053,0.576,44,0.753413
2000,,,4,80,,,,,,,,,873,459,10881,7518,14299,23350,0.021,0.033,0.053,0.587,43,0.77168
2001,,,4,81,,,,,,,,,933,521,11581,7525,14370,24995,0.016,0.028,0.044,0.581,44,0.779909
2002,,,4,87,,,,,,,,,1117,668,12784,8158,15870,28906,0.016,0.026,0.044,0.549,45,0.796383
2003,,,4,97,,,,,,,,,1228,734,12665,7820,15292,27822,0.019,0.035,0.057,0.509,44,0.811654
2004,,,4,116,,,,,,,,,1630,967,14082,8049,16035,31997,0.019,0.033,0.056,0.475,45,0.834702
2005,,,4,133,,,,,,,,,1971,1299,14862,9649,18751,33250,0.02,0.034,0.053,0.478,45,0.858669
2006,,,4,145,,,,,,,,,2421,1633,16703,10660,21411,38171,0.023,0.035,0.059,0.465,45,0.876992
2007,,,4,146,,,,,,,,,2673,1805,18330,11684,23239,42400,0.03,0.05,0.078,0.436,43,0.906824
2008,,,4,143,,,,,,,,,2890,1997,20281,12689,25235,46119,0.031,0.055,0.091,0.415,42,0.910217
2009,,,4,132,,,,,,,,,2788,1978,21134,12677,26861,49812,0.039,0.055,0.083,0.376,43,0.929017
2010,,,4,157,,,,,,,,,3281,0,20848,12300,25694,49085,0.033,0.054,,,42,0.941916
2011,,,4,180,,,,,,,,,3632,0,20155,11915,24577,46894,0.031,0.05,,,42,0.965479
2012,,,4,199,,,,,,,,,4869,0,24500,15106,30651,56527,0.017,,,,42,0.980216
2013,,,4,164,,,,,,,,,5228,0,31938,19399,41583,74497,,,,,42,0.992323
2014,,,4,184,,,,,,,,,6443,0,35028,21072,45504,83380,,,,,40,1
1981,,,6,3,,,,,,,,,10,5,3031,2640,2644,5273,0.008,0.008,0.008,0.455,,0.452594
1982,,,6,5,,,,,,,,,15,8,3199,2610,2735,5246,0.022,0.022,0.027,0.485,,0.474364
1983,,,6,10,,,,,,,,,31,15,2971,2610,2682,5112,0.005,0.014,0.017,0.513,,0.491878
1984,,,6,13,,,,,,,,,47,22,3611,2630,4783,6980,0.01,0.019,0.025,0.536,,0.509814
1985,,,6,18,,,,,,,,,65,29,3712,2627,4970,7200,0.013,0.019,0.031,0.555,,0.528431
1986,,,6,16,,,,,,,,,63,28,3901,2616,4957,7814,0.02,0.032,0.046,0.568,,0.536539
1987,,,6,15,,,,,,,,,63,27,4252,3158,5056,8637,0.014,0.022,0.042,0.585,,0.556903
1988,,,6,19,,,,,,,,,81,36,4252,3422,4774,7783,0.038,0.069,0.107,0.571,,0.580705
1989,,,6,27,,,,,,,,,117,56,4296,3429,5508,7964,0.042,0.07,0.113,0.539,,0.60299
1990,,,6,33,,,,,,,,,145,70,4422,3490,5494,8067,0.065,0.097,0.137,0.541,,0.631967
1991,,,6,41,,,,,,,,,206,107,5039,3506,6480,9905,0.065,0.098,0.147,0.506,,0.648323
1992,,,6,56,,,,,,,,,282,166,5054,3508,6566,9870,0.042,0.076,0.138,0.466,,0.665147
1993,,,6,54,,,,,,,,,329,189,6077,4000,7528,11911,0.052,0.083,0.144,0.476,,0.679709
1994,,,6,31,,,,,,,,,229,124,7263,5759,9536,14000,0.046,0.068,0.11,0.524,,0.694281
1995,,,6,47,,,,,,,,,453,244,9538,7056,12671,19421,0.036,0.056,0.08,0.545,,0.707602
1996,,,6,54,,,,,,,,,594,311,10958,7755,14119,23302,0.042,0.062,0.081,0.537,,0.724261
1997,,,6,56,,,,,,,,,735,383,13055,9118,16540,28135,0.03,0.042,0.067,0.542,,0.732323
1998,,,6,61,,,,,,,,,881,498,14363,9573,17906,32317,0.026,0.039,0.066,0.533,,0.738253
1999,,,6,62,,,,,,,,,951,557,15249,10026,19088,33413,0.021,0.036,0.063,0.519,45,0.753413
2000,,,6,65,,,,,,,,,1036,609,15997,10467,20691,36128,0.026,0.046,0.067,0.516,45,0.77168
2001,,,6,66,,,,,,,,,1157,670,17485,11038,21329,39558,0.024,0.036,0.054,0.53,45,0.779909
2002,,,6,66,,,,,,,,,1123,724,17093,10750,21132,39042,0.019,0.029,0.046,0.472,46,0.796383
2003,,,6,69,,,,,,,,,1300,858,18718,11040,23203,43704,0.021,0.041,0.064,0.444,46,0.811654
2004,,,6,80,,,,,,,,,1566,1099,19532,11677,23804,46334,0.018,0.035,0.062,0.393,45,0.834702
2005,,,6,90,,,,,,,,,2063,1498,22923,14502,28902,50680,0.021,0.035,0.055,0.418,46,0.858669
2006,,,6,100,,,,,,,,,2482,1791,24927,15783,31237,56527,0.023,0.036,0.058,0.403,46,0.876992
2007,,,6,94,,,,,,,,,2755,2015,29377,18973,38095,68805,0.028,0.044,0.071,0.38,44,0.906824
2008,,,6,91,,,,,,,,,2895,2079,31686,19603,40715,73784,0.023,0.05,0.085,0.384,43,0.910217
2009,,,6,90,,,,,,,,,2776,1974,30951,18967,39506,72171,0.032,0.05,0.077,0.377,44,0.929017
2010,,,6,110,,,,,,,,,3214,0,29327,17854,35808,66685,0.035,0.055,,,44,0.941916
2011,,,6,118,,,,,,,,,3375,0,28714,16757,34839,68976,0.034,0.053,,,43,0.965479
2012,,,6,125,,,,,,,,,4182,0,33555,20764,42680,76581,0.017,,,,43,0.980216
2013,,,6,100,,,,,,,,,4514,0,44990,28181,58880,106656,,,,,43,0.992323
2014,,,6,123,,,,,,,,,6309,0,51368,33223,70351,120636,,,,,40,1
